date,open,high,low,close,volume,amount,turnover,pct_change
2025-06-26,51.03,51.51,49.68,49.71,8099340,408526405.78,1.430400,-2.853200
2025-06-27,49.69,50.98,49.3,50.5,8689499,438018324.63,1.534700,1.589200
2025-06-30,50.76,53.85,50.53,53.32,16604337,873566785.21,2.932500,5.584200
2025-07-01,53.6,54.21,53.11,54.08,11380137,611201812.08,2.009900,1.425400
2025-07-02,53.95,54.45,53.33,53.8,6687891,359967012.78,1.181200,-0.517800
2025-07-03,53.73,54.28,53.14,54.12,9059009,487382605.98,1.599900,0.594800
2025-07-04,54.18,54.64,53.22,53.76,8535043,460126595.14,1.507400,-0.665200
2025-07-07,53.53,53.77,52.7,52.99,5953595,316302492.09,1.051500,-1.432300
2025-07-08,52.94,57.36,52.8,56.42,19641079,1096667147.46,3.468800,6.472900
2025-07-09,56.4,58.89,55.88,57.58,17837998,1026404120.34,3.150400,2.056000
2025-07-10,57.12,58.52,56.71,57.88,11606667,670700735.11,2.049900,0.521000
2025-07-11,57.98,59.99,57.91,59.51,20396218,1206217074.97,3.602200,2.816200
2025-07-14,59.1,60.33,58.0,58.15,15911946,935500535.83,2.810200,-2.285300
2025-07-15,57.77,58.01,56.57,57.31,13036800,745258060.13,2.302500,-1.444500
2025-07-16,57.39,57.77,56.2,56.65,11557035,658161487.47,2.041100,-1.151600
2025-07-17,56.8,59.1,56.36,58.23,13665287,791287037.23,2.413400,2.789100
2025-07-18,59.01,59.2,57.81,58.52,10108438,590476550.0,1.785300,0.498000
2025-07-21,58.02,58.49,57.02,57.97,11759688,679130462.97,2.076900,-0.939800
2025-07-22,57.7,58.88,56.81,57.2,11839340,683141445.03,2.091000,-1.328300
2025-07-23,57.89,59.81,57.5,57.58,17659299,1035288533.84,3.118800,0.664300
2025-07-24,57.2,60.46,57.2,60.0,18780687,1111471455.62,3.316900,4.202800
2025-07-25,59.98,63.88,59.7,62.0,23507516,1460001088.58,4.151700,3.333300
2025-07-28,62.0,63.66,61.63,63.17,16655320,1042114458.98,2.941500,1.887100
2025-07-29,62.97,71.71,62.08,68.73,31997546,2143712350.66,5.651100,8.801600
2025-07-30,68.2,71.9,66.8,67.74,30454715,2101313031.9,5.378700,-1.440400
2025-07-31,67.84,70.8,66.06,68.11,25550124,1749229902.96,4.512400,0.546200
2025-08-01,67.7,68.81,66.58,67.01,18072508,1219232368.89,3.191800,-1.615000
2025-08-04,66.01,66.47,63.17,66.18,18485032,1206405933.62,3.264700,-1.238600
2025-08-05,67.0,67.57,65.78,66.9,12507502,834883587.15,2.209000,1.087900
2025-08-06,67.43,67.59,65.69,66.0,9222715,611743870.84,1.628800,-1.345300
2025-08-07,65.65,66.6,63.5,64.67,11610326,751523644.99,2.050500,-2.015200
2025-08-08,64.19,65.55,63.63,65.24,7848622,506809972.49,1.386200,0.881400
2025-08-11,65.22,67.38,65.18,66.89,11169150,744878045.62,1.972600,2.529100
2025-08-12,67.5,68.7,66.5,67.02,11941661,806228085.27,2.109000,0.194300
2025-08-13,67.5,70.5,65.47,69.0,21268138,1450452743.96,3.756200,2.954300
2025-08-14,70.2,70.48,68.24,68.91,12489041,864967388.23,2.205700,-0.130400
2025-08-15,68.2,70.17,68.03,69.86,9580500,663377069.96,1.692000,1.378600
2025-08-18,69.5,69.76,67.17,69.5,16789346,1142407635.96,2.965200,-0.515300
2025-08-19,68.3,71.18,66.96,67.0,14296256,983402511.92,2.524900,-3.597100
2025-08-20,66.53,67.41,64.75,66.3,12765101,844051017.6,2.254500,-1.044800
2025-08-21,66.64,67.5,66.21,66.7,6584815,440244482.02,1.163000,0.603300
2025-08-22,66.89,67.17,65.9,66.42,8411499,558510994.87,1.485600,-0.419800
2025-08-25,66.6,68.7,66.2,68.65,14370203,970547236.94,2.537900,3.357400
2025-08-26,68.15,68.6,65.4,65.4,13488549,898598815.49,2.382200,-4.734200
2025-08-27,65.88,66.86,63.88,63.88,14114152,925572434.95,2.492700,-2.324200
2025-08-28,63.89,64.49,61.17,63.74,18718655,1173785541.21,3.305900,-0.219200
2025-08-29,62.95,65.18,62.5,63.51,17470305,1116781727.04,3.085500,-0.360800
2025-09-01,63.97,66.3,63.4,65.09,17903676,1166528141.56,3.162000,2.487800
2025-09-02,65.19,67.36,65.0,66.25,16619157,1101116619.01,2.935100,1.782100
2025-09-03,66.25,68.24,65.7,66.2,12740589,850747629.36,2.250100,-0.075500
2025-09-04,66.4,66.68,61.56,62.42,14579177,932265843.94,2.574900,-5.710000
2025-09-05,63.06,66.84,62.06,66.58,14629920,950451082.75,2.583800,6.664500
2025-09-08,66.8,68.87,66.14,67.19,11809243,794687114.69,2.085600,0.916200
2025-09-09,66.99,67.56,64.0,64.66,10824184,707794629.75,1.911700,-3.765400
2025-09-10,64.5,67.58,64.2,64.22,11637411,761855793.38,2.055300,-0.680500
2025-09-11,59.5,61.35,55.79,61.22,36221959,2135240840.32,6.397200,-4.671400
2025-09-12,61.21,62.23,59.6,61.01,19804321,1203935485.44,3.497700,-0.343000
2025-09-15,60.99,63.45,60.8,61.77,17249014,1073266068.92,3.046400,1.245700
2025-09-16,62.05,62.23,60.36,60.87,10096948,615262315.78,1.783200,-1.457000
2025-09-17,60.93,61.21,60.0,60.22,11136041,672677475.52,1.966800,-1.067800
2025-09-18,60.45,61.22,58.8,59.45,15662143,941896110.67,2.766100,-1.278600
