date,open,high,low,close,volume,amount,turnover,pct_change
2025-06-26,67.5,67.5,65.52,65.68,31567730,2090934201.14,1.270300,-3.141100
2025-06-27,65.68,66.42,65.32,65.83,19691383,1298425975.87,0.792400,0.228400
2025-06-30,65.72,69.65,65.6,69.55,46834337,3197226437.87,1.884600,5.650900
2025-07-01,69.11,71.39,69.11,70.7,34360885,2427370172.82,1.382700,1.653500
2025-07-02,70.98,71.38,69.96,70.2,21889138,1541968347.14,0.880800,-0.707200
2025-07-03,70.2,71.07,69.9,70.72,22708099,1602986684.5,0.913800,0.740700
2025-07-04,70.72,71.65,70.04,70.82,23136591,1637993620.75,0.931000,0.141400
2025-07-07,70.75,70.75,69.22,69.84,21036866,1467087580.88,0.846500,-1.383800
2025-07-08,69.63,70.88,69.55,70.4,19888448,1397239190.15,0.800300,0.801800
2025-07-09,69.39,70.98,68.9,69.7,23089854,1614224839.13,0.929100,-0.994300
2025-07-10,69.81,71.39,69.81,70.14,29862153,2110353014.76,1.201600,0.631300
2025-07-11,73.5,77.15,73.3,77.15,81113216,6187525899.9,3.263900,9.994300
2025-07-14,77.5,79.52,77.21,78.6,78030080,6108719157.35,3.139900,1.879500
2025-07-15,78.94,80.86,78.94,80.08,45216480,3611405899.91,1.819500,1.883000
2025-07-16,79.66,80.47,78.38,78.81,31624768,2500287020.45,1.272600,-1.585900
2025-07-17,78.91,81.49,78.53,81.02,41583700,3334038702.12,1.673300,2.804200
2025-07-18,81.21,83.14,81.21,82.6,41579552,3423582419.3,1.673100,1.950100
2025-07-21,82.61,83.49,80.84,82.76,49675278,4090911569.66,1.998900,0.193700
2025-07-22,82.12,85.93,82.0,82.78,45281369,3790521203.94,1.822100,0.024200
2025-07-23,83.8,85.59,83.3,84.06,48992806,4130062192.56,1.971400,1.546300
2025-07-24,83.66,87.0,83.51,87.0,47977765,4117033256.54,1.930600,3.497500
2025-07-25,87.0,91.2,86.39,88.88,61094107,5449205071.09,2.458400,2.160900
2025-07-28,89.5,91.62,88.81,91.62,53268026,4810498762.14,2.143500,3.082800
2025-07-29,93.45,99.76,90.7,98.69,94014709,9014449996.03,3.783100,7.716700
2025-07-30,98.6,102.49,97.25,98.85,92913994,9295907432.12,3.738800,0.162100
2025-07-31,96.0,98.85,94.92,96.27,98354070,9498644787.69,3.957700,-2.610000
2025-08-01,95.59,96.39,92.36,93.0,89326337,8397691200.1,3.594400,-3.396700
2025-08-04,93.0,93.0,89.61,91.85,63916807,5820856352.62,2.572000,-1.236600
2025-08-05,92.9,94.15,92.52,93.29,48498304,4524512867.9,1.951500,1.567800
2025-08-06,93.29,95.75,92.98,93.58,52525501,4949859578.77,2.113600,0.310900
2025-08-07,92.46,93.92,90.06,91.21,58367873,5338845803.67,2.348700,-2.532600
2025-08-08,90.3,91.65,89.0,90.66,42206329,3821372279.45,1.698300,-0.603000
2025-08-11,90.8,92.5,90.6,91.23,40431874,3691080441.55,1.626900,0.628700
2025-08-12,91.55,91.75,90.1,91.5,37173126,3381474976.95,1.495800,0.296000
2025-08-13,92.1,99.5,91.64,98.12,103105177,9861040638.05,4.148900,7.235000
2025-08-14,99.0,102.36,97.3,98.68,80763150,8010471657.45,3.249800,0.570700
2025-08-15,97.55,99.3,96.66,97.8,54792951,5361910476.25,2.204800,-0.891800
2025-08-18,97.8,99.3,96.5,96.98,62711456,6114490532.35,2.523500,-0.838400
2025-08-19,97.15,99.0,90.01,90.26,131165425,12319742558.58,5.278000,-6.929300
2025-08-20,89.37,91.98,89.08,91.81,82113831,7441572792.67,3.304200,1.717300
2025-08-21,92.3,93.33,91.2,91.7,39717015,3657657477.03,1.598200,-0.119800
2025-08-22,92.0,94.02,91.25,94.0,58016380,5386515513.81,2.334500,2.508200
2025-08-25,95.44,100.0,94.69,99.98,93311762,9115287356.05,3.754800,6.361700
2025-08-26,99.4,99.4,96.41,96.8,67004694,6517467608.32,2.696200,-3.180600
2025-08-27,97.4,98.99,95.4,95.4,62020093,6036968427.72,2.495600,-1.446300
2025-08-28,94.93,95.85,92.5,95.69,58306073,5497000805.58,2.357400,0.304000
2025-08-29,95.78,103.96,95.62,103.3,101659553,10179550324.8,4.110300,7.952800
2025-09-01,104.2,112.01,101.51,111.58,101245380,10930113473.63,4.093600,8.015500
2025-09-02,111.0,115.79,109.55,112.0,106125769,11920451241.57,4.290900,0.376400
2025-09-03,111.72,112.95,108.69,110.88,71937192,7947526855.66,2.908600,-1.000000
2025-09-04,112.27,112.7,99.98,101.94,102863435,10721558806.65,4.159000,-8.062800
2025-09-05,101.93,108.32,100.2,107.4,80229245,8389785590.92,3.243800,5.356100
2025-09-08,108.38,111.88,106.77,110.6,71097532,7767481385.07,2.874600,2.979500
2025-09-09,108.94,112.65,105.32,106.37,64218447,6945057886.71,2.596500,-3.824600
2025-09-10,106.1,109.37,105.8,107.23,47851765,5144666469.76,1.934700,0.808500
2025-09-11,99.0,105.2,97.55,104.65,100340190,10267266155.63,4.057000,-2.406000
2025-09-12,105.6,107.28,103.31,105.47,56662117,5955282693.05,2.291000,0.783600
2025-09-15,105.0,108.99,105.0,107.0,51392197,5509643217.9,2.077900,1.450600
2025-09-16,106.5,107.5,105.53,107.05,35000928,3726544829.61,1.415200,0.046700
2025-09-17,106.89,110.72,105.38,109.29,49765207,5381554265.43,2.012100,2.092500
2025-09-18,109.47,110.9,106.06,107.43,54306896,5895425334.84,2.195700,-1.701900
2025-09-19,107.7,109.97,105.0,108.75,50163714,5395330165.46,2.028200,1.228700
2025-09-22,108.01,110.53,106.76,109.03,43983582,4779804629.03,1.778400,0.257500
2025-09-23,108.5,109.73,102.69,104.78,64331421,6771720868.68,2.601100,-3.898000
2025-09-24,104.02,106.17,104.02,105.03,39349193,4135949755.97,1.591000,0.238600
2025-09-25,104.88,108.5,104.88,107.38,52709691,5663189312.73,2.131200,2.237500
2025-09-26,104.7,104.94,101.66,102.92,48528522,5017475181.79,1.962100,-3.840000
2025-09-29,102.9,105.6,101.5,105.27,46935401,4865689507.29,1.897700,2.283300
2025-09-30,105.27,112.26,105.22,112.03,70739544,7791722622.3,2.860200,6.421600
2025-10-09,112.03,113.97,109.85,112.85,55470829,6219178955.78,2.242800,0.731900
2025-10-10,111.78,111.8,104.5,104.72,68930865,7356582325.51,2.787000,-7.204300
2025-10-13,98.0,101.04,97.8,99.73,70093590,6957583502.95,2.834000,-4.765100
2025-10-14,101.05,101.9,95.34,95.92,56189084,5506647133.73,2.271800,-3.820300
2025-10-15,96.1,99.65,94.85,99.46,42180075,4123404369.15,1.705400,3.690600
2025-10-16,99.46,102.43,98.66,101.06,39160445,3949543564.63,1.583300,1.608700
2025-10-17,100.8,101.26,96.46,96.6,39641854,3886666751.31,1.602800,-4.413200
2025-10-20,98.1,100.55,97.5,98.89,29847710,2957685476.6,1.206800,2.370600
2025-10-21,99.86,102.11,99.02,102.04,33544687,3395246200.31,1.356300,3.185400
2025-10-22,101.29,102.88,100.71,100.9,21132156,2140772252.98,0.854400,-1.117200
2025-10-23,100.95,102.0,99.81,101.9,22487548,2268178657.93,0.909200,0.991100
2025-10-24,102.5,105.35,101.96,103.81,37900400,3925070775.6,1.532400,1.874400
2025-10-27,110.6,111.0,105.3,106.64,71976496,7772066000.49,2.910200,2.726100
2025-10-28,106.79,108.28,103.9,103.96,46230959,4875565999.91,1.869200,-2.513100
2025-10-29,103.25,106.93,102.84,106.04,45323403,4751312633.79,1.832500,2.000800
2025-10-30,100.5,100.5,96.46,97.06,123118577,12060746723.86,4.977900,-8.468500
2025-10-31,97.41,100.5,96.55,99.4,65694079,6514330555.88,2.656200,2.410900
2025-11-03,99.43,99.87,95.8,96.41,55846710,5419149163.96,2.258000,-3.008000
2025-11-04,96.0,96.02,93.24,93.81,54686065,5140895807.99,2.211100,-2.696800
2025-11-05,92.13,95.7,92.13,94.31,39100692,3695270937.2,1.580900,0.533000
