date,open,high,low,close,volume,amount,pct_change
2025-06-12,3885.5196,3900.0408,3870.3838,3892.1992,13399869700,260239581458.0,-0.062291
2025-06-13,3881.4923,3889.1602,3853.8186,3864.1822,17253953600,309172346179.9,-0.719824
2025-06-16,3853.6193,3876.1704,3853.6193,3873.7951,13734183500,246860982863.3,0.248769
2025-06-17,3875.1768,3880.4156,3860.409,3870.3786,12234252600,220399818948.5,-0.088195
2025-06-18,3871.6502,3881.346,3854.6575,3874.9708,12752862100,230553858263.6,0.118650
2025-06-19,3870.049,3872.9425,3834.9512,3843.0912,13028065800,234840180805.5,-0.822706
2025-06-20,3839.7833,3856.4799,3839.7833,3846.6443,11815102000,213522822874.5,0.092454
2025-06-23,3831.1703,3867.5896,3827.0829,3857.9016,13380089200,232482215850.4,0.292652
2025-06-24,3862.3876,3914.1579,3862.3876,3904.0342,16365618800,294228720612.5,1.195795
2025-06-25,3907.0682,3963.0371,3902.1771,3960.0662,18721367100,361727254624.0,1.435233
2025-06-26,3953.1603,3964.482,3945.2589,3946.0195,16531626300,328102847495.6,-0.354709
2025-06-27,3949.7879,3969.2626,3918.2041,3921.7578,19455791300,343468229813.8,-0.614840
2025-06-30,3920.3149,3940.3611,3911.6044,3936.0791,14517023600,288821434921.4,0.365176
2025-07-01,3935.9078,3946.2451,3924.7219,3942.762,12895936200,236070338399.4,0.169786
2025-07-02,3943.3232,3952.1378,3929.6956,3943.6849,14706306200,246637847453.8,0.023407
2025-07-03,3949.3998,3971.616,3945.138,3968.0676,14100400600,269609569538.7,0.618272
2025-07-04,3967.4637,4013.8478,3958.3762,3982.2034,15719713300,290512992198.0,0.356239
2025-07-07,3977.2881,3979.7481,3956.5663,3965.1746,13113527300,225106992875.9,-0.427623
2025-07-08,3965.426,4002.269,3965.426,3998.4527,15640289500,292089834223.8,0.839259
2025-07-09,3997.5044,4016.7434,3987.4267,3991.4006,17329379600,305398796562.7,-0.176371
2025-07-10,3993.4196,4032.9829,3992.5242,4010.0243,20977890400,347836703626.3,0.466596
2025-07-11,4011.4652,4065.9419,4010.1052,4014.807,26205277300,443780794880.4,0.119269
2025-07-14,4021.2135,4034.9198,4017.6678,4017.6678,20791717500,321415945157.1,0.071256
2025-07-15,4023.9896,4042.6574,3994.2628,4019.0644,19104293100,353524574440.9,0.034761
2025-07-16,4019.3925,4027.8567,3993.9209,4007.2019,15102730800,300656795664.6,-0.295156
2025-07-17,4005.067,4034.5935,4005.067,4034.491,16124904100,325516865722.7,0.681001
2025-07-18,4039.8712,4064.6378,4039.3181,4058.5486,18621106300,354244444629.7,0.596298
2025-07-21,4069.7685,4086.1171,4063.4427,4085.6072,22326847600,377938564877.6,0.666706
2025-07-22,4087.3354,4119.2021,4068.3383,4118.9582,25759698500,450874014479.4,0.816305
2025-07-23,4129.1476,4155.6783,4113.9085,4119.7685,30050615400,470330899420.8,0.019672
2025-07-24,4116.8312,4152.4265,4111.8849,4149.0368,31963239200,487000043884.1,0.710436
2025-07-25,4145.3195,4150.4994,4117.8005,4127.1634,27359496300,430445513470.9,-0.527192
2025-07-28,4128.1993,4146.12,4112.9677,4135.8242,22275981500,406792873973.3,0.209849
2025-07-29,4132.6833,4153.3307,4117.5772,4152.0247,23080788000,428764310973.8,0.391712
2025-07-30,4148.9405,4185.2064,4127.4301,4151.2379,24985304800,445168467668.0,-0.018950
2025-07-31,4141.5612,4141.8243,4063.6662,4075.5912,26708740600,492142571738.8,-1.822268
2025-08-01,4069.9254,4085.3543,4040.462,4054.9286,19622182600,359685164163.4,-0.506984
2025-08-04,4037.9378,4070.7023,4037.9378,4070.7023,16227590200,295976826632.4,0.389001
2025-08-05,4080.3877,4106.2969,4075.5836,4103.45,17885199900,306934255765.6,0.804473
2025-08-06,4100.4283,4116.7085,4098.3544,4113.4852,17667615500,307674626124.8,0.244555
2025-08-07,4120.2822,4129.7382,4094.8214,4114.666,19864190200,358108366983.7,0.028706
2025-08-08,4109.2734,4122.2104,4097.4157,4104.9669,17317120100,308507687634.7,-0.235720
2025-08-11,4110.2939,4134.2462,4103.605,4122.5106,19044371600,360685826235.0,0.427377
2025-08-12,4123.5762,4153.2948,4121.2243,4143.8252,17728782300,383088423330.0,0.517030
2025-08-13,4150.5037,4186.748,4147.1991,4176.5776,21393499900,462776745465.3,0.790390
2025-08-14,4179.965,4220.3109,4165.9376,4173.3131,22110359500,485075642622.0,-0.078162
2025-08-15,4162.4205,4214.7291,4157.495,4202.3533,26132756600,518686873500.8,0.695855
2025-08-18,4218.2471,4272.9602,4203.4191,4239.4125,30147910200,635365867184.5,0.881868
2025-08-19,4241.7651,4264.2303,4215.2075,4223.3741,25081877100,553536203259.6,-0.378317
2025-08-20,4208.4005,4272.1463,4190.5559,4271.3958,24648177300,538815306146.9,1.137046
2025-08-21,4284.3712,4308.4472,4273.6523,4288.0707,25903001400,558521268967.4,0.390385
2025-08-22,4287.3633,4378.3881,4287.3633,4377.9977,29043489700,675935075408.9,2.097144
2025-08-25,4416.2924,4472.6525,4404.7761,4469.2217,35809000600,823681964472.7,2.083692
2025-08-26,4453.3526,4476.803,4435.5275,4452.5905,27062139500,627950450229.2,-0.372127
2025-08-27,4458.8399,4494.9126,4386.1266,4386.1266,33313389800,785098482973.5,-1.492702
2025-08-28,4378.0351,4464.8028,4364.171,4463.782,29683453600,739423602221.4,1.770478
2025-08-29,4455.8034,4516.8395,4452.3632,4496.7591,35193894700,831194066157.9,0.738770
2025-09-01,4516.8787,4528.1342,4487.5304,4523.7111,32036670800,770378288126.9,0.599365
2025-09-02,4521.9828,4548.8937,4454.4169,4490.4528,30393256600,777999297964.1,-0.735199
2025-09-03,4501.3388,4510.7303,4427.5176,4459.8296,25432021700,655697116709.1,-0.681962
2025-09-04,4461.2503,4465.4967,4327.5068,4365.2085,30793460900,773124596998.1,-2.121630
2025-09-05,4365.6083,4466.5603,4350.2974,4460.3249,24962565700,664166970946.5,2.178966
2025-09-08,4467.1693,4482.763,4438.0698,4467.5733,26763838200,683630879769.1,0.162508
