date,股票代码,open,close,high,low,volume,amount,振幅,pct_change,涨跌额,turnover
2025-06-04,300750,244.59,243.14,245.69,242.79,130402,3285855858.0,1.19,-0.04,-0.1,0.33
2025-06-05,300750,243.45,243.59,244.53,240.36,135259,3386751734.0,1.72,0.19,0.45,0.35
2025-06-06,300750,244.09,240.97,245.42,240.59,165515,4138221069.0,1.98,-1.08,-2.62,0.42
2025-06-09,300750,240.97,237.67,242.97,237.59,185498,4593124638.0,2.23,-1.37,-3.3,0.48
2025-06-10,300750,237.09,235.23,238.95,234.31,139325,3406606343.0,1.95,-1.03,-2.44,0.36
2025-06-11,300750,238.18,242.59,244.53,236.89,279934,7006354612.0,3.25,3.13,7.36,0.72
2025-06-12,300750,244.09,241.9,244.59,240.86,175696,4386403720.0,1.54,-0.28,-0.69,0.45
2025-06-13,300750,240.19,240.29,242.5,238.46,174032,4322411795.0,1.67,-0.67,-1.61,0.45
2025-06-16,300750,240.09,238.75,240.79,237.89,122176,3013514215.0,1.21,-0.64,-1.54,0.31
2025-06-17,300750,239.05,238.35,240.52,237.31,97650,2407928749.0,1.34,-0.17,-0.4,0.25
2025-06-18,300750,239.07,237.66,241.67,237.66,104606,2586543839.0,1.68,-0.29,-0.69,0.27
2025-06-19,300750,237.39,234.19,238.25,233.69,147985,3604508604.0,1.92,-1.46,-3.47,0.38
2025-06-20,300750,233.15,232.35,235.21,231.59,136883,3293985956.0,1.55,-0.79,-1.84,0.35
2025-06-23,300750,231.39,231.7,232.69,230.12,127099,3040680713.0,1.11,-0.28,-0.65,0.33
2025-06-24,300750,232.67,238.01,240.17,232.67,235011,5767361453.0,3.24,2.72,6.31,0.6
2025-06-25,300750,238.59,246.99,247.97,238.09,315377,7930320892.0,4.15,3.77,8.98,0.81
2025-06-26,300750,247.97,244.88,248.38,244.45,199145,5062386536.0,1.59,-0.85,-2.11,0.51
2025-06-27,300750,248.59,243.08,249.54,242.2,236201,5985026676.0,3.0,-0.74,-1.8,0.61
2025-06-30,300750,243.59,244.31,245.59,241.79,176234,4434817078.0,1.56,0.51,1.23,0.41
2025-07-01,300750,244.59,243.59,244.83,241.97,95323,2395104336.0,1.17,-0.29,-0.72,0.22
2025-07-02,300750,243.59,242.54,244.1,241.28,115714,2897311834.0,1.16,-0.43,-1.05,0.27
2025-07-03,300750,243.56,254.68,255.3,242.68,338037,8746803693.0,5.2,5.01,12.14,0.79
2025-07-04,300750,257.1,257.89,262.07,253.07,272060,7214227943.0,3.53,1.26,3.21,0.64
2025-07-07,300750,257.89,252.98,260.97,250.97,174665,4568972964.0,3.88,-1.9,-4.91,0.41
2025-07-08,300750,252.79,255.4,257.99,251.91,155923,4104293094.0,2.4,0.96,2.42,0.37
2025-07-09,300750,254.29,262.89,266.55,254.19,293884,7948423738.0,4.84,2.93,7.49,0.69
2025-07-10,300750,267.08,264.09,267.08,260.59,242393,6594201202.0,2.47,0.46,1.2,0.57
2025-07-11,300750,263.59,263.59,266.09,262.19,213282,5798544034.0,1.48,-0.19,-0.5,0.5
2025-07-14,300750,263.09,260.59,263.41,258.19,149789,4013693003.0,1.98,-1.14,-3.0,0.35
2025-07-15,300750,260.59,259.84,264.59,258.09,169526,4553827628.0,2.49,-0.29,-0.75,0.4
2025-07-16,300750,260.59,256.49,260.79,255.13,156265,4135841242.0,2.18,-1.29,-3.35,0.37
2025-07-17,300750,257.46,257.59,259.84,256.45,145110,3852746250.0,1.32,0.43,1.1,0.34
2025-07-18,300750,260.79,263.29,264.54,257.89,221866,5981601234.0,2.58,2.21,5.7,0.52
2025-07-21,300750,269.09,271.75,274.09,265.64,324863,9047295148.0,3.21,3.21,8.46,0.76
2025-07-22,300750,272.09,278.75,282.09,271.27,333090,9468912161.0,3.98,2.58,7.0,0.78
2025-07-23,300750,280.25,279.11,282.84,278.68,200190,5772653125.0,1.49,0.13,0.36,0.47
2025-07-24,300750,281.09,277.29,281.29,275.0,223891,6394082072.0,2.25,-0.65,-1.82,0.53
2025-07-25,300750,277.29,274.89,277.29,273.84,134326,3802835260.0,1.24,-0.87,-2.4,0.32
2025-07-28,300750,275.11,278.39,281.18,273.39,238973,6830867028.0,2.83,1.27,3.5,0.56
2025-07-29,300750,278.79,283.91,284.09,278.77,233946,6785427583.0,1.91,1.98,5.52,0.55
2025-07-30,300750,284.29,269.18,284.29,268.45,415943,11712764593.0,5.58,-5.19,-14.73,0.98
2025-07-31,300750,272.89,256.71,274.07,256.71,447104,12088514551.0,6.45,-4.63,-12.47,1.05
2025-08-01,300750,256.89,255.16,258.69,254.84,252500,6682814646.0,1.5,-0.6,-1.55,0.59
2025-08-04,300750,255.09,258.57,260.09,253.79,237682,6286238371.0,2.47,1.34,3.41,0.56
2025-08-05,300750,259.59,257.79,261.09,255.59,219760,5844478669.0,2.13,-0.3,-0.78,0.52
2025-08-06,300750,257.31,257.09,258.99,255.32,153233,4058482395.0,1.42,-0.27,-0.7,0.36
2025-08-07,300750,257.09,255.14,258.58,254.29,165481,4363462114.0,1.67,-0.76,-1.95,0.39
2025-08-08,300750,256.09,255.57,258.25,254.1,174282,4604736202.0,1.63,0.17,0.43,0.41
2025-08-11,300750,255.57,255.75,258.24,254.59,213309,5627553110.0,1.43,0.07,0.18,0.5
2025-08-12,300750,255.59,255.34,257.27,249.81,222407,5829140856.0,2.92,-0.16,-0.41,0.52
2025-08-13,300750,256.86,265.69,267.09,256.6,394668,10661084796.0,4.11,4.05,10.35,0.93
2025-08-14,300750,268.98,271.98,274.09,266.57,371708,10378442059.0,2.83,2.37,6.29,0.87
2025-08-15,300750,270.47,272.76,274.39,268.19,241092,6735591187.0,2.28,0.29,0.78,0.57
2025-08-18,300750,272.76,275.09,277.57,270.11,285288,8056186541.0,2.74,0.85,2.33,0.67
2025-08-19,300750,275.09,269.89,276.09,268.31,244286,6816442573.0,2.83,-1.89,-5.2,0.57
2025-08-20,300750,270.59,272.29,273.08,265.14,233535,6414344336.0,2.94,0.89,2.4,0.55
