date,open,high,low,close,volume,amount,turnover,pct_change
2025-04-30,20.42810961,20.6967696,20.32860591,20.46791109,191305112,3948031590.55,1.432000,0.390400
2025-05-06,20.5972659,20.97537996,20.50771257,20.88582663,328160124,6867607336.65,2.456400,2.041800
2025-05-07,21.890814,22.46793546,20.9952807,21.14453625,651292094,14131316009.36,4.875200,1.238700
2025-05-08,20.98533033,21.28384143,20.93557848,21.11468514,267746495,5688789916.45,2.004200,-0.141200
2025-05-09,21.10473477,21.16443699,20.66691849,20.72662071,220375703,4607385584.52,1.649600,-1.837900
2025-05-12,20.95547922,21.86096289,20.78632293,21.61220364,524864624,11248063535.03,3.928800,4.272700
2025-05-13,21.7913103,21.7913103,21.31369254,21.34354365,320648475,6933044216.03,2.400200,-1.243100
2025-05-14,21.31369254,23.16446136,21.10473477,22.41818361,884020944,19674701308.37,6.617300,5.035000
2025-05-15,22.05001992,22.1893251,21.6918066,21.71170734,415805780,9157960739.31,3.112500,-3.151400
2025-05-16,21.65200512,21.86096289,21.40324587,21.42314661,229994175,4972142237.56,1.721600,-1.329100
2025-05-19,21.38334513,21.54255105,21.16443699,21.3932955,171971442,3688317134.15,1.287200,-0.139300
2025-05-20,21.47289846,21.60225327,21.34354365,21.41319624,197781176,4262763693.5,1.480400,0.093000
2025-05-21,21.35349402,21.53260068,21.24403995,21.27389106,196240548,4214269607.78,1.467100,-0.650600
2025-05-22,21.1942881,21.33359328,21.07488366,21.12463551,161566646,3435139886.12,1.207800,-0.701600
2025-05-23,21.05498292,21.27389106,20.65696812,20.67686886,270666662,5697965655.98,2.023500,-2.119600
2025-05-26,20.60721627,20.75647182,20.56741479,20.6967696,159237200,3304055628.47,1.190400,0.096200
2025-05-27,20.6967696,20.74652145,20.52761331,20.58731553,128345978,2662153105.17,0.959500,-0.528800
2025-05-28,20.64701775,20.67686886,20.36840739,20.3982585,132052665,2719571593.35,0.987200,-0.918300
2025-05-29,20.43805998,20.86592589,20.3982585,20.74652145,217962633,4534311134.04,1.629500,1.707300
2025-05-30,20.63706738,20.64701775,20.41815924,20.51766294,155846615,3214187488.79,1.165100,-1.103100
2025-06-03,20.37835776,20.77637256,20.33855628,20.55746442,168136376,3475602966.61,1.257000,0.194000
2025-06-04,20.54751405,21.02513181,20.46791109,20.83607478,247088370,5167756329.98,1.847200,1.355300
2025-06-05,20.86592589,21.15448662,20.75647182,21.02513181,238302387,5011383196.18,1.781500,0.907400
2025-06-06,21.02513181,21.08483403,20.76642219,20.78632293,170707833,3583426088.69,1.276200,-1.135800
2025-06-09,20.90572737,21.47289846,20.895777,21.35349402,394252543,8438986734.46,2.947400,2.728600
2025-06-10,21.28384143,21.38334513,20.66691849,20.86592589,295659608,6240789063.35,2.210300,-2.283300
2025-06-11,20.94552885,21.7913103,20.88582663,21.38334513,464789661,10007737342.31,3.474700,2.479700
2025-06-12,21.20423847,21.97041696,21.1942881,21.54255105,402799229,8732900047.32,3.011300,0.744500
2025-06-13,21.37339476,21.53260068,21.16443699,21.22413921,308920138,6617099360.29,2.309400,-1.478100
2025-06-16,21.22413921,21.66195549,21.22413921,21.62215401,269492794,5827122593.08,2.014700,1.875300
2025-06-17,21.64205475,21.67190586,21.47289846,21.60225327,199992738,4330488658.94,1.495100,-0.092000
