date,open,high,low,close,volume,amount,turnover,pct_change
2025-06-09,232.97,238.0,232.2,235.75,5106040,1205160377.77,0.421100,1.397800
2025-06-10,235.75,240.85,234.0,235.75,5381392,1281509037.92,0.443900,0.000000
2025-06-11,236.79,240.18,236.05,237.32,4649144,1106728332.21,0.383500,0.666000
2025-06-12,237.01,238.76,233.86,236.6,4130871,976348873.36,0.340700,-0.303400
2025-06-13,236.6,242.52,235.1,237.28,8108248,1946999627.7,0.668800,0.287400
2025-06-16,237.78,239.96,234.56,236.61,3786861,896367445.77,0.312300,-0.282400
2025-06-17,236.3,237.13,231.6,232.01,4594398,1071818451.16,0.378900,-1.944100
2025-06-18,231.41,232.6,229.3,229.3,2662996,613452368.26,0.219600,-1.168100
2025-06-19,229.06,229.96,225.3,225.95,3355257,761023854.57,0.276700,-1.461000
2025-06-20,226.0,227.83,225.02,227.26,3049838,691948480.17,0.251500,0.579800
2025-06-23,227.26,229.26,224.89,225.83,3282143,742988547.42,0.270700,-0.629200
2025-06-24,226.04,228.0,224.77,224.84,5191438,1173422095.53,0.428200,-0.438400
2025-06-25,225.45,229.58,224.01,229.05,4305281,976881205.91,0.355100,1.872400
2025-06-26,228.85,231.9,227.5,227.5,3915017,897380792.59,0.322900,-0.676700
2025-06-27,227.97,229.5,226.03,226.64,3913515,890565252.78,0.322800,-0.378000
2025-06-30,224.1,226.2,223.0,224.75,5576367,1248974041.73,0.459900,-0.833900
2025-07-01,224.77,227.77,224.36,226.5,3735569,846351562.64,0.308100,0.778600
2025-07-02,226.96,227.93,224.5,224.99,2954798,667529587.79,0.243700,-0.666700
2025-07-03,225.21,225.99,219.88,220.2,7637063,1694538932.15,0.629900,-2.129000
2025-07-04,220.91,224.19,220.0,223.8,6076097,1356097934.83,0.501200,1.634900
2025-07-07,224.5,226.16,216.03,216.41,9238480,2019724951.47,0.762000,-3.302100
2025-07-08,216.41,218.29,214.11,217.33,5359181,1161448758.06,0.442000,0.425100
2025-07-09,217.33,217.34,214.3,214.48,8021679,1728280160.45,0.661600,-1.311400
2025-07-10,214.49,219.36,214.13,218.65,6738394,1465203802.34,0.555800,1.944200
2025-07-11,219.76,222.98,218.2,221.08,6232920,1377133446.56,0.514100,1.111400
2025-07-14,221.08,221.75,216.87,217.0,5455324,1190394281.11,0.450000,-1.845500
2025-07-15,216.63,217.99,214.86,215.06,5003950,1081007202.4,0.412700,-0.894000
2025-07-16,214.86,216.29,214.0,214.65,5223867,1121613341.19,0.430900,-0.190600
2025-07-17,214.59,217.19,214.06,217.18,5923001,1275720560.19,0.488500,1.178700
2025-07-18,217.28,225.52,217.27,225.32,11335413,2508390427.46,0.934900,3.748000
2025-07-21,225.5,226.98,224.09,225.79,5739656,1295281348.31,0.473400,0.208600
2025-07-22,225.5,226.19,222.03,226.0,6221770,1394868072.45,0.513200,0.093000
2025-07-23,226.04,232.42,226.04,228.5,8910358,2043278026.81,0.734900,1.106200
2025-07-24,228.74,236.28,226.0,232.07,11118418,2561826514.48,0.917000,1.562400
2025-07-25,231.96,235.93,230.18,231.84,7192040,1673424578.58,0.593200,-0.099100
2025-07-28,232.5,234.66,230.68,233.18,5499360,1281505996.26,0.453600,0.578000
2025-07-29,232.85,234.4,228.01,231.82,7926224,1830368251.82,0.653800,-0.583200
2025-07-30,231.8,242.0,228.7,237.96,13550928,3233304461.86,1.117700,2.648600
2025-07-31,237.96,238.0,229.99,231.2,8432343,1973821629.06,0.695500,-2.840800
2025-08-01,231.0,233.44,226.0,227.23,7168359,1639613529.85,0.591200,-1.717100
2025-08-04,226.99,228.0,224.66,227.3,5935133,1340214309.95,0.489500,0.030800
2025-08-05,227.31,228.56,226.14,228.03,3660982,832311750.13,0.302000,0.321200
