date,open,high,low,close,volume,amount,turnover,pct_change
2025-07-31,113.96,116.96,113.0,114.24,10518019,1208289429.87,3.317800,0.236900
2025-08-01,113.01,116.0,110.11,111.35,12117916,1360413922.68,3.822500,-2.529800
2025-08-04,109.45,111.35,107.5,110.08,10873677,1185031012.91,3.430000,-1.140500
2025-08-05,110.16,111.37,109.61,110.39,6697679,739538450.46,2.112700,0.281600
2025-08-06,110.53,112.65,109.06,109.78,7993041,883683855.78,2.521300,-0.552600
2025-08-07,109.12,111.98,106.7,107.2,8962511,973212692.9,2.827100,-2.350200
2025-08-08,101.0,101.82,97.71,97.9,19716196,1956842416.39,6.219300,-8.675400
2025-08-11,97.73,100.17,97.73,99.82,9344621,927843898.75,2.947700,1.961200
2025-08-12,100.3,102.06,100.0,101.21,9025793,911617298.78,2.847100,1.392500
2025-08-13,101.93,109.3,101.92,107.8,14847488,1573740672.94,4.683500,6.511200
2025-08-14,108.0,112.2,107.57,108.46,11795946,1291577554.15,3.720900,0.612200
2025-08-15,108.45,110.27,107.51,109.1,7335904,800089105.63,2.314000,0.590100
2025-08-18,110.3,110.6,106.5,107.81,11641265,1254065964.76,3.672100,-1.182400
2025-08-19,107.39,109.6,104.02,104.56,11356062,1211346893.48,3.582200,-3.014600
2025-08-20,103.67,105.58,102.71,105.44,7575724,790992257.84,2.389700,0.841600
2025-08-21,105.73,106.99,105.25,106.11,5214014,553020299.22,1.644700,0.635400
2025-08-22,106.0,106.92,105.0,106.5,6444299,683829915.72,2.032800,0.367500
2025-08-25,107.77,110.6,107.05,110.59,10938217,1194687925.4,3.450400,3.840400
2025-08-26,109.68,109.68,103.06,103.3,16353940,1718259812.05,5.158700,-6.591900
2025-08-27,104.64,106.0,102.69,102.69,10203331,1066215769.02,3.218500,-0.590500
2025-08-28,101.98,103.69,99.7,103.5,9028667,916781573.03,2.848000,0.788800
2025-08-29,103.4,108.2,102.11,106.92,11868670,1256117183.83,3.743900,3.304300
2025-09-01,106.9,110.88,105.82,110.78,14050455,1532724854.63,4.432100,3.610200
2025-09-02,110.49,112.52,107.57,109.74,12085212,1327389538.6,3.812200,-0.938800
2025-09-03,109.74,111.93,108.87,109.31,9721747,1071638039.15,3.066600,-0.391800
2025-09-04,110.4,111.4,100.25,101.72,13387243,1402922091.4,4.222900,-6.943600
2025-09-05,101.61,109.1,100.8,108.27,11445384,1212616454.79,3.610300,6.439200
2025-09-08,108.3,110.96,107.64,110.4,9555446,1044100880.09,3.014200,1.967300
2025-09-09,109.55,111.49,105.99,106.44,8466419,915127883.41,2.670700,-3.587000
