date,open,high,low,close,volume,amount,turnover,pct_change
2025-05-06,63.48,63.6,62.68,63.56,17332317,1094066307.88,0.887700,0.252400
2025-05-07,64.28,64.36,62.9,63.4,17771925,1126718348.85,0.910200,-0.251700
2025-05-08,63.0,63.42,62.78,63.27,10494620,663408476.33,0.537500,-0.205000
2025-05-09,63.0,63.15,62.63,62.72,9973527,626272398.01,0.510800,-0.869300
2025-05-12,62.75,62.9,62.36,62.57,14044051,879134853.03,0.719300,-0.239200
2025-05-13,62.9,63.1,62.48,62.51,12242073,768088887.7,0.627000,-0.095900
2025-05-14,62.55,62.96,61.44,62.58,19612182,1217459891.86,1.004500,0.112000
2025-05-15,62.34,62.57,61.73,61.73,10947800,678878682.69,0.560700,-1.358300
2025-05-16,61.73,63.1,61.5,62.87,19078872,1191031615.64,0.977200,1.846800
2025-05-19,62.38,62.47,61.84,61.88,11054482,685087602.7,0.566200,-1.574700
2025-05-20,61.9,62.12,61.76,61.91,7979561,494391605.93,0.408700,0.048500
2025-05-21,61.78,62.2,61.7,61.9,8417982,521574450.06,0.431100,-0.016200
2025-05-22,61.8,62.0,61.24,61.24,9568375,588990594.62,0.490100,-1.066200
2025-05-23,61.24,61.63,60.81,60.88,8985011,549770980.2,0.460200,-0.587900
2025-05-26,60.81,61.16,60.74,61.15,5845003,356523146.51,0.299400,0.443500
2025-05-27,61.0,61.33,60.95,61.18,4767386,291629334.25,0.244200,0.049100
2025-05-28,61.18,61.45,60.88,61.23,5421794,332096879.95,0.277700,0.081700
2025-05-29,61.1,61.7,60.95,61.63,8509358,522912038.21,0.435800,0.653300
2025-05-30,61.56,61.56,60.59,60.59,7905246,482983622.8,0.404900,-1.687500
2025-06-03,60.2,61.09,60.2,60.92,5958115,361991877.53,0.305200,0.544600
2025-06-04,60.93,61.78,60.72,61.64,9554118,585971361.97,0.489300,1.181900
2025-06-05,61.47,61.62,61.25,61.35,7129454,437361853.54,0.365100,-0.470500
2025-06-06,61.3,61.95,61.03,61.61,8813267,541589688.85,0.451400,0.423800
2025-06-09,61.61,61.88,61.33,61.66,7652743,471774120.1,0.392000,0.081200
2025-06-10,61.66,61.69,60.65,61.16,9840796,601824629.04,0.504000,-0.810900
2025-06-11,61.02,61.77,61.02,61.38,7855676,482934885.9,0.402300,0.359700
2025-06-12,61.4,61.45,61.06,61.18,6098829,373093703.46,0.312400,-0.325800
2025-06-13,61.2,61.44,60.35,60.4,11822607,717435497.43,0.605500,-1.274900
2025-06-16,60.23,60.6,60.11,60.45,6012787,363209934.79,0.308000,0.082800
2025-06-17,60.51,60.95,60.5,60.63,6249692,379208300.7,0.320100,0.297800
2025-06-18,60.61,60.84,60.35,60.66,5981136,362741588.25,0.306300,0.049500
2025-06-19,60.46,61.15,60.46,60.81,10571309,643408519.04,0.541400,0.247300
2025-06-20,59.78,61.09,59.5,60.18,15392329,930636845.51,0.788300,0.702800
2025-06-23,59.87,59.87,58.79,59.71,11036590,655031544.07,0.565300,-0.781000
2025-06-24,59.94,60.89,59.93,60.88,13407471,812431769.27,0.686700,1.959500
2025-06-25,60.9,61.35,60.51,61.3,13118590,799601156.39,0.671900,0.689900
2025-06-26,61.0,61.62,60.82,61.1,11960119,731347892.69,0.612600,-0.326300
2025-06-27,61.02,61.32,60.58,60.59,11539508,702066882.32,0.591000,-0.834700
2025-06-30,60.59,61.07,60.57,60.97,9607044,584505776.47,0.492000,0.627200
2025-07-01,60.96,61.06,60.56,60.61,7504691,455519064.53,0.384400,-0.590500
2025-07-02,60.65,60.92,60.4,60.68,8183723,496314172.22,0.419100,0.115500
2025-07-03,60.63,60.92,60.47,60.73,7833404,475569082.02,0.401200,0.082400
