date,open,high,low,close,volume,amount,turnover,pct_change
2025-07-14,118.61,119.2,117.46,117.59,11279153,1331566268.2,1.699400,-0.650600
2025-07-15,117.1,117.56,114.0,115.0,23620259,2718281579.14,3.558800,-2.202600
2025-07-16,115.0,116.4,114.0,114.24,15874283,1826208290.84,2.391700,-0.660900
2025-07-17,114.05,118.19,113.82,117.99,24127542,2805867151.81,3.635200,3.282600
2025-07-18,117.86,120.3,116.23,117.16,20323308,2391314586.57,3.062000,-0.703400
2025-07-21,116.82,117.53,115.4,117.11,11594394,1350683001.67,1.746900,-0.042700
2025-07-22,116.97,117.33,115.8,115.87,14392733,1672922189.26,2.168500,-1.058800
2025-07-23,115.77,118.36,115.5,116.99,14911076,1741699657.11,2.246600,0.966600
2025-07-24,116.6,118.0,115.14,117.89,17225398,2011696441.62,2.595300,0.769300
2025-07-25,117.9,122.0,117.9,121.94,35693376,4286282667.19,5.377800,3.435400
2025-07-28,122.0,122.2,119.71,120.26,19101197,2302878681.01,2.877900,-1.377700
2025-07-29,120.0,121.5,119.4,120.28,16994065,2042850876.68,2.560400,0.016600
2025-07-30,124.06,129.67,123.31,123.99,47298744,5957278630.12,7.126400,3.084500
2025-07-31,121.0,126.8,120.28,121.13,30874773,3788904667.77,4.651800,-2.306600
2025-08-01,120.5,122.1,117.09,117.31,24781348,2946052921.83,3.733700,-3.153600
2025-08-04,116.3,120.2,116.3,118.84,16078264,1902328180.95,2.422500,1.304200
2025-08-05,119.0,119.3,117.3,118.0,12485055,1471568917.73,1.881100,-0.706800
2025-08-06,118.0,118.65,117.01,118.28,11448567,1349530060.55,1.724900,0.237300
2025-08-07,117.98,119.2,117.32,117.67,16994088,2007916589.18,2.560400,-0.515700
2025-08-08,117.68,117.68,116.4,116.4,12151300,1418055203.21,1.830800,-1.079300
2025-08-11,116.79,118.5,116.48,117.95,12798173,1508912168.42,1.928300,1.331600
2025-08-12,118.31,121.5,117.6,120.47,25275618,3025712891.35,3.808200,2.136500
2025-08-13,120.49,123.0,119.94,121.46,24098654,2925464096.51,3.630900,0.821800
2025-08-14,121.7,125.49,120.55,121.01,31400325,3865198489.67,4.731000,-0.370500
2025-08-15,120.01,123.5,120.01,122.9,21150022,2590294401.68,3.186600,1.561900
2025-08-18,123.33,127.98,121.51,125.7,32849852,4106567031.51,4.949400,2.278300
2025-08-19,125.48,128.88,122.85,123.26,32317520,4046363005.71,4.869200,-1.941100
2025-08-20,123.0,127.25,122.01,127.01,35989759,4494071401.11,5.422500,3.042300
2025-08-21,132.09,139.71,132.09,137.16,85897149,11832481427.06,12.941900,7.991500
2025-08-22,135.12,150.88,135.08,150.88,78079054,11210984975.63,11.763900,10.002900
2025-08-25,159.0,163.5,152.88,157.8,83619760,13172131297.23,12.598700,4.586400
2025-08-26,157.8,157.8,152.62,154.4,38225332,5917649649.55,5.759300,-2.154600
2025-08-27,155.87,168.5,152.18,158.63,62381058,10014123480.28,9.398800,2.739600
2025-08-28,161.0,165.8,159.01,164.45,49432831,8027959132.82,7.447900,3.668900
2025-08-29,161.8,162.0,156.4,158.98,39800586,6325048099.23,5.996600,-3.326200
2025-09-01,164.11,174.88,157.0,174.88,61279712,10223340505.54,9.232800,10.001300
2025-09-02,179.28,188.0,173.05,176.0,76285237,13736024580.26,11.493700,0.640400
2025-09-03,176.26,177.73,168.55,171.09,44127598,7587032736.31,6.648600,-2.789800
2025-09-04,169.0,171.07,153.98,153.98,45498053,7284233850.1,6.855000,-10.000600
2025-09-05,150.0,163.99,145.8,159.56,69948770,10700137152.55,10.502800,3.623800
2025-09-08,161.93,169.0,159.15,163.83,52371475,8602671848.74,7.863600,2.676100
2025-09-09,161.0,162.8,154.62,157.15,32732034,5191824525.46,4.914700,-4.077400
2025-09-10,157.14,163.25,155.7,161.29,33465697,5358368654.69,5.024900,2.634400
2025-09-11,161.26,177.42,160.0,177.42,55442395,9422962073.19,8.324700,10.000600
2025-09-12,179.99,195.16,177.5,190.21,71035704,13432520617.65,10.666000,7.208900
2025-09-15,193.51,194.5,186.62,190.94,49548307,9469855424.4,7.439700,0.383800
2025-09-16,189.0,196.8,186.89,189.16,40856221,7810240313.94,6.132000,-0.932200
2025-09-17,188.99,192.58,182.97,186.6,33924537,6358605811.33,5.091700,-1.353400
2025-09-18,189.39,200.85,186.8,190.88,59041052,11381851203.01,8.861300,2.293700
2025-09-19,194.31,195.88,184.91,185.2,37191821,7051277592.54,5.582000,-2.975700
2025-09-22,188.88,198.09,186.28,195.01,41197769,8002507022.87,6.183300,5.297000
2025-09-23,196.0,201.59,188.69,194.07,39994566,7780830607.76,6.002700,-0.482000
2025-09-24,194.6,208.23,193.0,199.8,50702069,10165505184.35,7.609800,2.952500
2025-09-25,199.0,204.5,193.1,197.41,40427591,8001322067.57,6.067700,-1.196200
2025-09-26,196.01,206.02,190.21,190.21,43520085,8650850074.28,6.531800,-3.647200
2025-09-29,196.5,203.63,195.1,197.13,43487798,8628937827.74,6.527000,3.638100
2025-09-30,204.34,216.84,203.0,213.3,59786499,12672064936.41,8.973200,8.202700
2025-10-09,222.0,234.63,218.6,225.49,58538977,13293421696.59,8.773300,5.715000
2025-10-10,225.5,230.5,212.12,215.02,44303098,9636636021.85,6.639800,-4.643200
2025-10-13,201.5,214.9,201.5,207.85,42481514,8843113207.4,6.366800,-3.334600
2025-10-14,215.45,220.53,193.0,196.0,52201780,10762183994.36,7.823600,-5.701200
2025-10-15,195.55,202.4,186.41,202.01,39044231,7587280730.54,5.851600,3.066300
2025-10-16,201.44,214.8,198.53,208.13,45866618,9577597463.35,6.874100,3.029600
2025-10-17,208.12,211.5,201.0,201.21,32935784,6777034047.5,4.936100,-3.324800
2025-10-20,207.73,215.0,203.03,208.35,36724406,7696246687.04,5.503900,3.548500
2025-10-21,211.0,222.0,209.66,219.01,40511722,8794154720.27,6.071500,5.116400
2025-10-22,214.0,214.0,205.3,210.93,37182952,7766034296.94,5.572700,-3.689300
2025-10-23,205.98,208.1,200.39,206.96,27405848,5585482985.52,4.107400,-1.882100
2025-10-24,214.0,221.88,212.0,221.08,45061812,9805113355.97,6.753500,6.822600
2025-10-27,230.0,243.19,222.83,243.19,52091618,12070372379.79,7.807000,10.000900
2025-10-28,236.5,254.44,234.58,246.95,52729642,12909959809.8,7.902700,1.546100
2025-10-29,246.96,252.63,236.0,241.15,50374463,12221563110.73,7.549700,-2.348700
2025-10-30,246.24,247.0,231.78,232.0,43365443,10345840391.97,6.499200,-3.794300
2025-10-31,231.0,234.68,216.0,220.0,49242882,10882575345.51,7.380100,-5.172400
2025-11-03,217.0,230.68,216.66,230.1,46261349,10367480648.52,6.933300,4.590900
2025-11-04,231.0,231.22,222.5,224.99,29336781,6624358512.67,4.396700,-2.220800
2025-11-05,213.0,220.49,210.95,218.39,33513145,7203205726.72,5.022700,-2.933500
2025-11-06,224.5,228.0,222.25,227.2,34334670,7753801390.08,5.145800,4.034100
2025-11-07,222.68,227.89,219.55,220.95,27898918,6232949914.32,4.181200,-2.750900
2025-11-10,228.49,231.45,212.5,218.96,38583223,8553969468.19,5.782500,-0.900700
2025-11-11,223.6,227.01,216.71,216.99,34192490,7601312659.18,5.124500,-0.899700
2025-11-12,213.0,218.58,207.01,209.5,34952308,7391713965.35,5.238400,-3.451800
2025-11-13,212.0,230.45,211.88,227.5,62663858,14161665404.59,9.391500,8.591900
2025-11-14,216.0,216.49,205.78,205.78,54863327,11531317142.29,8.222400,-9.547300
2025-11-17,207.81,214.74,206.36,207.5,33506074,7029315416.69,5.021600,0.835800
2025-11-18,205.28,207.58,201.57,202.5,27437846,5596610402.53,4.108600,-2.409600
2025-11-19,200.25,205.5,199.03,202.52,23881863,4835263415.7,3.576100,0.009900
2025-11-20,207.5,208.0,198.66,199.1,21760535,4376548543.46,3.258500,-1.688700
2025-11-21,189.0,190.57,182.51,182.51,40441609,7512795789.77,6.055900,-8.332500
2025-11-24,183.75,184.75,176.0,179.18,34049949,6102558862.68,5.098700,-1.824600
2025-11-25,185.0,191.6,184.19,190.62,36402147,6845489695.93,5.451000,6.384600
2025-11-26,187.01,198.88,186.8,196.5,29768530,5796501767.95,4.457600,3.084700
2025-11-27,198.88,208.0,198.88,200.86,31973175,6535638162.5,4.787800,2.218800
2025-11-28,199.0,204.35,196.66,203.0,21565225,4334514870.49,3.229200,1.065400
2025-12-01,204.04,215.45,201.2,212.82,38267003,8001361362.35,5.730200,4.837400
2025-12-02,211.78,216.79,208.1,210.5,24924369,5283394788.86,3.732300,-1.090100
2025-12-03,210.42,210.99,206.19,207.6,17070813,3550298440.39,2.556200,-1.377700
2025-12-04,206.0,212.98,201.99,210.41,24700726,5130378876.6,3.698800,1.353600
2025-12-05,210.92,211.0,205.5,206.81,16981736,3517459254.91,2.542900,-1.710900
2025-12-08,208.62,216.97,207.53,213.89,31130702,6624931659.13,4.661600,3.423400
2025-12-09,212.0,215.3,209.3,210.95,21058596,4464451196.1,3.153400,-1.374500
2025-12-10,209.09,210.2,203.5,208.84,19181021,3972447948.16,2.872200,-1.000200
2025-12-11,211.88,213.0,207.5,207.81,18824603,3953045789.84,2.818900,-0.493200
2025-12-12,206.0,214.44,204.01,209.89,21503384,4488267448.4,3.220000,1.000900
2025-12-15,205.02,208.68,203.5,204.16,17506942,3589589514.62,2.621500,-2.730000
2025-12-16,203.0,205.46,196.13,197.86,20482472,4078991500.9,3.067100,-3.085800
2025-12-17,197.01,202.87,195.95,202.18,19050158,3802859059.26,2.852600,2.183400
2025-12-18,203.5,218.88,203.5,214.45,41852471,8887246198.62,6.267100,6.068800
2025-12-19,220.0,221.0,208.2,210.21,33239480,7034876943.32,4.977400,-1.977200
2025-12-22,213.51,219.5,213.51,216.46,25370057,5485534764.73,3.798800,2.973200
2025-12-23,216.99,221.33,215.0,217.38,25429787,5543292841.68,3.807700,0.425000
2025-12-24,220.0,225.0,216.2,224.1,29840962,6590470884.45,4.468200,3.091400
2025-12-25,223.0,228.83,217.33,222.0,25940049,5752598104.76,3.884100,-0.937100
2025-12-26,221.0,230.0,220.0,226.97,29663127,6722806559.62,4.441600,2.238700
2025-12-29,225.71,234.44,225.0,227.93,29601901,6772169787.75,4.432500,0.423000
2025-12-30,226.0,229.54,219.1,220.22,27160988,6063612930.26,4.067000,-3.382600
2025-12-31,228.01,228.88,212.58,214.25,35457119,7741087427.45,5.309200,-2.710900
2026-01-05,221.32,235.68,221.0,235.68,49928382,11560778680.3,7.476000,10.002300
2026-01-06,238.0,253.33,234.0,250.78,50753550,12310629498.19,7.599600,6.407000
2026-01-07,270.0,273.77,256.78,262.5,54516179,14443385678.76,8.163000,4.673400
2026-01-08,259.0,267.0,256.91,258.75,31410913,8210508185.06,4.703300,-1.428600
2026-01-09,254.55,254.55,244.32,250.05,39523831,9873211262.77,5.918100,-3.362300
2026-01-12,255.22,264.04,254.0,261.83,40381307,10435793484.12,6.046500,4.711100
2026-01-13,266.0,275.0,257.49,263.5,46151776,12238674369.41,6.910600,0.637800
2026-01-14,270.0,271.0,249.05,253.0,44732134,11546200173.9,6.698000,-3.984800
2026-01-15,249.61,257.55,248.2,254.96,28389837,7180430118.23,4.251000,0.774700
2026-01-16,260.03,280.46,257.5,280.46,55336213,15020119556.72,8.285800,10.001600
2026-01-19,280.6,292.0,278.88,288.45,46322995,13241198626.28,6.936200,2.848900
2026-01-20,282.9,297.1,282.88,292.0,38978232,11377429956.69,5.836400,1.230700
2026-01-21,295.0,314.8,293.01,307.65,40465397,12395709223.08,6.059100,5.359600
2026-01-22,320.0,320.02,296.7,301.47,45061697,13710967281.55,6.747300,-2.008800
2026-01-23,296.0,310.68,295.0,297.25,34937969,10491781698.88,5.231500,-1.399800
2026-01-26,300.0,308.0,290.5,292.6,27267478,8059039737.65,4.082900,-1.564300
2026-01-27,290.0,312.42,286.67,307.26,38004368,11465752144.29,5.690600,5.010300
2026-01-28,313.88,328.58,313.88,323.68,37717992,12160363681.52,5.647700,5.344000
2026-01-29,329.88,331.07,306.99,307.5,33424581,10593801175.36,5.004800,-4.998800
2026-01-30,315.0,320.88,308.01,314.88,37619944,11864831687.65,5.633000,2.400000
2026-02-02,300.8,306.09,283.39,283.39,41628829,12094639948.86,6.233300,-10.000600
2026-02-03,294.01,296.6,285.2,292.57,30221354,8812712425.01,4.525200,3.239400
2026-02-04,285.99,289.5,279.0,282.33,27095763,7646576014.07,4.057200,-3.500000
2026-02-05,269.94,279.52,268.21,277.74,22905352,6300761896.41,3.429700,-1.625800
2026-02-06,271.0,280.51,268.2,276.17,18626714,5136089771.28,2.789100,-0.565300
2026-02-09,283.97,294.44,280.2,292.98,28305521,8148122681.0,4.238300,6.086800
2026-02-10,287.13,291.5,284.17,289.9,21596554,6225459477.43,3.233800,-1.051300
2026-02-11,285.0,286.5,280.5,284.59,17341550,4922177743.56,2.596600,-1.831700
2026-02-12,290.5,305.0,285.0,303.24,30067434,8842653412.54,4.502200,6.553300
2026-02-13,303.24,317.6,301.0,308.7,29925371,9335277998.59,4.480900,1.800600
2026-02-24,317.5,331.16,311.0,323.05,30254540,9709224736.98,4.530200,4.648500
2026-02-25,316.0,317.01,301.96,311.32,28572801,8846026249.92,4.278400,-3.631000
2026-02-26,316.0,316.0,306.05,309.4,23105285,7169784208.18,3.459700,-0.616700
2026-02-27,303.5,306.0,296.69,300.0,22096892,6629753921.01,3.308700,-3.038100
2026-03-02,290.87,299.98,290.55,293.15,18513228,5453801344.68,2.772100,-2.283300
2026-03-03,295.0,296.1,272.59,272.89,33329365,9356849949.16,4.990600,-6.911100
2026-03-04,272.89,290.0,272.89,279.07,32691632,9250036178.76,4.895100,2.264600
2026-03-05,288.16,289.88,280.23,282.8,25529973,7288806325.09,3.822700,1.336600
2026-03-06,277.9,288.88,277.56,284.99,20857577,5931718814.47,3.123100,0.774400
2026-03-09,273.0,277.7,264.0,276.09,28354565,7649552152.86,4.245700,-3.122900
2026-03-10,284.1,286.5,281.18,285.44,23353742,6640032786.16,3.496900,3.386600
2026-03-11,288.04,290.83,281.32,281.53,21649869,6176121565.27,3.241800,-1.369800
2026-03-12,279.83,283.83,272.43,274.78,17232747,4768478190.83,2.580400,-2.397600
2026-03-13,270.78,285.67,270.78,278.33,22613749,6301123525.33,3.386100,1.291900
2026-03-16,280.0,306.16,277.0,306.16,46273564,13600507643.9,6.928800,9.998900
2026-03-17,306.5,313.0,295.88,296.0,39000085,11825489340.83,5.839700,-3.318500
2026-03-18,305.1,313.68,302.0,311.25,42051352,12995566647.41,6.296600,5.152000
2026-03-19,300.0,309.71,297.0,303.68,31214567,9443689781.14,4.673900,-2.432100
2026-03-20,305.55,306.7,290.0,290.2,31253644,9259119963.67,4.679800,-4.438900
2026-03-23,277.0,282.88,271.0,273.35,28214191,7806213395.65,4.224700,-5.806300
2026-03-24,277.99,278.0,256.88,273.71,33691468,8936300506.62,5.044800,0.131700
2026-03-25,275.15,285.8,275.14,278.4,28376275,7947975811.02,4.248900,1.713500
2026-03-26,268.0,268.7,260.0,262.0,35077307,9217935593.63,5.252300,-5.890800
2026-03-27,248.98,260.18,240.25,258.66,28977343,7291597265.11,4.338900,-1.274800
2026-03-30,252.0,259.54,250.03,255.85,21469645,5470168274.95,3.214800,-1.086400
2026-03-31,249.9,252.0,236.86,238.1,42762334,10377669656.46,6.403000,-6.937700
2026-04-01,250.0,256.1,243.7,255.0,38795783,9693139251.05,5.809100,7.097900
2026-04-02,257.86,259.8,245.6,246.99,25297431,6367107416.01,3.787900,-3.141200
2026-04-03,250.99,254.6,247.5,249.1,19747197,4948392995.26,2.956900,0.854300
2026-04-07,253.1,255.96,248.81,249.66,19847158,5011332740.15,2.971800,0.224800
2026-04-08,250.11,256.96,243.08,255.96,75332537,18866761509.79,11.279900,2.523400
2026-04-09,250.0,253.49,243.9,250.49,44468257,11053684068.37,6.658500,-2.137100
2026-04-10,255.49,268.32,255.24,265.09,53476682,14080294764.18,8.007400,5.828600
2026-04-13,261.0,269.84,260.9,262.14,41242092,10896229970.23,6.175400,-1.112800
2026-04-14,269.5,281.23,266.39,280.01,46620521,12861207284.45,6.980700,6.817000
2026-04-15,285.0,287.65,271.98,274.0,39697260,11071707520.46,5.944100,-2.146400
2026-04-16,270.1,287.0,268.59,286.73,40933672,11431621261.53,6.129200,4.646000
2026-04-17,284.0,295.66,282.9,288.96,40632112,11768331454.26,6.084100,0.777700
2026-04-20,293.0,295.96,287.12,290.54,32564280,9489709815.62,4.876000,0.546800
2026-04-21,290.8,309.0,288.25,306.27,42583406,12827436178.34,6.376200,5.414100
2026-04-22,303.5,314.58,302.51,313.98,34166195,10559646646.49,5.115900,2.517400
2026-04-23,326.01,326.02,301.9,304.8,44199730,13709630157.62,6.618300,-2.923800
2026-04-24,305.0,310.0,292.81,297.7,34910537,10436275525.16,5.227300,-2.329400
2026-04-27,301.59,309.58,297.75,303.42,31635478,9594446067.59,4.737000,1.921400
2026-04-28,305.0,319.33,302.02,307.5,36794294,11421765606.97,5.509400,1.344700
2026-04-29,303.01,311.66,297.0,308.89,41919980,12787874125.06,6.276900,0.452000
2026-04-30,320.0,321.0,306.48,312.99,58796514,18516847869.83,8.803900,1.327300
2026-05-06,330.0,344.29,330.0,344.29,42342550,14465204492.38,6.340200,10.000300
2026-05-07,347.0,357.36,339.0,350.16,52387882,18174549785.58,7.844300,1.705000
2026-05-08,341.0,343.3,331.8,334.1,44083273,14821436653.58,6.600800,-4.586500
2026-05-11,350.1,367.51,347.01,362.13,57507907,20673848905.22,8.611000,8.389700
2026-05-12,362.14,362.2,349.2,353.55,40559551,14360590981.76,6.073200,-2.369300
2026-05-13,344.0,366.71,339.33,365.0,48498284,17127399573.72,7.261900,3.238600
2026-05-14,365.05,373.5,354.99,356.19,40836464,14829461847.74,6.114700,-2.413700
2026-05-15,353.0,384.0,345.48,375.34,62436811,22792196753.49,9.349000,5.376300
2026-05-18,408.58,412.87,396.34,400.0,68798434,27876373983.72,10.301600,6.570000
2026-05-19,390.0,410.0,380.02,404.56,55310111,21805396340.1,8.281900,1.140000
2026-05-20,408.0,445.02,407.8,445.02,61012555,26523529100.57,9.135700,10.001000
2026-05-21,445.02,464.83,427.33,431.9,63239768,28199401935.58,9.469200,-2.948200
2026-05-22,448.0,472.99,439.0,468.74,63796889,28932072443.05,9.552700,8.529800
2026-05-25,478.11,515.61,461.0,515.6,59361411,29387713836.27,8.888500,9.997000
2026-05-26,510.0,538.02,491.2,526.22,64338392,33017657438.17,9.633700,2.208400
2026-05-27,541.0,552.82,500.0,514.18,66726041,35341222580.94,9.991200,-2.288000
2026-05-28,495.0,499.5,470.0,483.0,62379220,30240489779.09,9.340400,-6.064000
2026-05-29,492.66,496.0,464.91,467.01,55812542,26715074211.2,8.357100,-3.310600
2026-06-01,476.0,489.96,455.0,468.0,52158648,24676174086.48,7.810000,0.212000
2026-06-02,471.0,480.66,448.11,474.69,49019277,23013728743.91,7.339900,1.429500
2026-06-03,478.89,510.0,477.0,492.23,58192978,28838934890.31,8.713500,3.695000
2026-06-04,487.05,538.0,485.01,529.31,56335088,29302244792.63,8.435400,7.533100
2026-06-05,507.0,519.8,484.9,488.0,54713542,27565110090.63,8.192600,-7.804500
2026-06-08,461.11,490.7,451.0,474.01,43447474,20573934016.58,6.505600,-2.866800
2026-06-09,493.0,502.88,477.03,500.5,41968333,20592669383.82,6.284100,5.588500
2026-06-10,489.11,497.26,475.65,480.84,32997210,15988381630.41,4.940900,-3.928100
2026-06-11,480.52,486.0,471.0,483.5,29699143,14211235695.8,4.447000,0.553200
2026-06-12,508.0,510.0,481.0,481.47,40708544,20201561529.52,6.095500,-0.419900
2026-06-15,494.97,519.0,476.66,518.0,47578448,23934989158.78,7.124200,7.587200
2026-06-16,526.0,542.84,517.71,532.76,42778507,22673887612.95,6.405500,2.849400
2026-06-17,521.0,586.04,521.0,586.04,56800030,31598894525.55,8.505000,10.000800
2026-06-18,594.0,644.64,586.6,629.0,59157318,37016387909.85,8.857900,7.330600
2026-06-22,643.0,689.7,635.0,689.7,52583095,34699907687.8,7.873600,9.650200
2026-06-23,680.0,688.8,636.0,640.99,59291379,39089605510.45,8.869400,-7.062500
2026-06-24,641.0,705.09,630.93,705.09,59821931,39944848280.74,8.948800,10.000200
2026-06-25,740.0,775.39,735.0,775.21,50867836,38432771373.97,7.609300,9.944800
2026-06-26,753.0,779.0,732.52,770.0,49392562,37418302893.17,7.388700,-0.672100
2026-06-29,779.0,846.66,750.0,840.0,54120883,43149934642.37,8.096000,9.090900
2026-06-30,810.0,833.0,781.11,815.0,44964679,36399346132.85,6.726300,-2.976200
2026-07-01,803.0,843.38,753.0,772.01,53970217,43202850798.27,8.073400,-5.274800
2026-07-02,721.0,731.99,694.81,694.81,45243641,32120680670.73,6.768000,-9.999900
2026-07-03,672.54,717.66,642.35,677.77,62352215,42673730269.22,9.327300,-2.452500
2026-07-06,690.0,694.99,630.0,654.29,60150228,39768631632.72,8.997900,-3.464300
2026-07-07,625.0,646.2,607.0,620.0,51565141,32272585837.38,7.713700,-5.240800
2026-07-08,630.0,641.0,589.0,603.17,57510792,35494320004.0,8.603100,-2.714500
2026-07-09,633.0,663.49,630.0,663.49,59092011,38185017353.01,8.839600,10.000500
2026-07-10,688.0,707.97,607.18,612.0,88745662,59381239200.6,13.275500,-7.760500
2026-07-13,580.0,600.0,550.8,550.8,66310699,37737379039.46,9.919400,-10.000000
2026-07-14,551.0,587.2,534.58,583.99,67949024,38337659762.78,10.164500,6.025800
2026-07-15,600.0,608.07,565.29,571.79,55370446,32494750794.21,8.282900,-2.089100
2026-07-16,543.26,548.0,514.61,514.61,54554237,28806874371.25,8.160800,-10.000200
2026-07-17,500.0,509.88,463.15,463.15,67208333,32122306065.79,10.053700,-9.999800
2026-07-20,479.0,485.87,416.88,432.3,71262184,32260372799.49,10.660100,-6.660900
2026-07-21,446.0,475.53,401.0,475.53,74390185,33087873790.62,11.128100,10.000000
2026-07-22,479.94,501.26,460.0,470.0,75906055,36826043198.17,11.354800,-1.162900
