date,open,high,low,close,volume,amount,turnover,pct_change
2025-07-17,84.85,86.5,84.35,86.27,19843222,1699120154.79,1.733400,1.541900
2025-07-18,85.95,86.7,85.01,85.66,15847140,1358709721.56,1.384300,-0.707100
2025-07-21,85.3,85.4,83.3,83.91,23227664,1951408894.99,2.029000,-2.043000
2025-07-22,83.92,84.2,83.07,83.32,18390133,1538275406.03,1.606400,-0.703100
2025-07-23,83.32,84.64,82.97,83.52,20550769,1721320231.15,1.795200,0.240000
2025-07-24,83.4,83.83,82.69,83.68,24429000,2032548760.73,2.133900,0.191600
2025-07-25,83.61,85.1,82.65,84.6,26368346,2206120703.03,2.303300,1.099400
2025-07-28,84.5,86.18,83.69,85.97,31172949,2647130731.52,2.723000,1.619400
2025-07-29,85.55,88.1,85.51,87.0,31346280,2726107368.71,2.738200,1.198100
2025-07-30,87.1,88.66,86.01,87.21,27312334,2382778525.33,2.385800,0.241400
2025-07-31,87.0,88.87,84.51,85.02,31014423,2685465196.97,2.709200,-2.511200
2025-08-01,85.1,85.85,81.66,82.19,29183321,2433071396.35,2.549200,-3.328600
2025-08-04,82.0,84.5,81.93,84.16,24579652,2056417448.56,2.147100,2.396900
2025-08-05,84.29,85.85,83.55,85.16,18038609,1534568538.82,1.575700,1.188200
2025-08-06,85.17,91.55,84.71,90.94,47669497,4245844915.41,4.164000,6.787200
2025-08-07,91.4,93.86,91.4,92.96,40165835,3722074030.56,3.508600,2.221200
2025-08-08,92.95,93.02,91.22,91.36,21612913,1987730575.8,1.887300,-1.721200
2025-08-11,91.36,92.3,90.17,90.83,18847577,1716045439.2,1.645900,-0.580100
2025-08-12,90.77,92.06,89.81,90.16,25288063,2291309034.89,2.208300,-0.737600
2025-08-13,90.74,91.1,89.6,90.15,26583673,2397768098.42,2.321400,-0.011100
2025-08-14,90.15,91.6,88.8,88.94,34968106,3151502979.38,3.053600,-1.342200
2025-08-15,89.96,93.28,89.95,93.0,37618989,3465634377.48,3.285100,4.564900
2025-08-18,93.02,93.6,91.5,91.73,40979940,3787493032.11,3.578600,-1.365600
2025-08-19,92.33,93.07,89.5,89.6,35089728,3205167958.55,3.064200,-2.322000
2025-08-20,90.47,92.87,88.33,92.86,41755778,3773037132.65,3.646300,3.638400
2025-08-21,92.88,94.94,90.81,91.18,36857017,3419729266.2,3.218500,-1.809200
2025-08-22,91.94,99.19,91.18,99.11,71805319,6876378058.28,6.270400,8.697100
2025-08-25,102.87,106.59,99.61,101.98,74715233,7626148835.62,6.524500,2.895800
2025-08-26,101.0,106.25,100.3,103.6,47991543,4985994764.46,4.190800,1.588500
2025-08-27,103.2,115.87,102.86,108.2,78187592,8569515517.65,6.827700,4.440200
2025-08-28,109.0,117.71,109.0,117.5,80976049,9229646128.29,7.071200,8.595200
2025-08-29,115.15,124.68,111.0,122.9,70332022,8155828408.42,6.141700,4.595700
2025-09-01,128.0,129.98,119.8,124.22,64423613,8008368599.03,5.625800,1.074000
2025-09-02,124.55,127.18,114.01,115.4,70348241,8390027695.8,6.143100,-7.100300
2025-09-03,114.36,115.82,110.98,112.49,49835491,5648215322.89,4.351900,-2.521700
2025-09-04,112.75,112.98,101.1,102.85,67162780,7112289575.34,5.865000,-8.569700
2025-09-05,104.15,108.76,102.48,108.41,50248472,5315320108.39,4.387900,5.405900
2025-09-08,110.0,112.59,108.04,109.33,45988310,5052386115.04,4.015900,0.848600
2025-09-09,110.5,112.5,107.71,107.95,40204588,4401854457.46,3.510900,-1.262200
2025-09-10,109.0,117.54,108.02,114.1,58552099,6667367575.83,5.113000,5.697100
2025-09-11,110.0,119.27,108.0,117.4,78777547,8997684447.98,6.879200,2.892200
2025-09-12,117.4,122.89,116.02,118.2,66354639,7877920482.39,5.794400,0.681400
2025-09-15,120.3,121.03,116.2,117.16,42287466,4986853162.71,3.692700,-0.879900
2025-09-16,118.0,124.55,117.09,120.48,54284336,6574364949.22,4.740400,2.833700
2025-09-17,119.76,120.39,115.5,119.11,43351264,5121161587.71,3.785600,-1.137100
2025-09-18,119.52,124.55,116.57,119.01,62531463,7585970353.94,5.460500,-0.084000
2025-09-19,122.17,131.54,119.66,120.59,75327646,9426904077.77,6.578000,1.327600
2025-09-22,120.18,126.44,120.11,125.29,55863877,6942433229.54,4.878300,3.897500
2025-09-23,124.05,127.77,120.57,126.31,58699795,7297717212.06,5.125900,0.814100
2025-09-24,125.0,139.99,124.0,135.86,78176977,10312100710.77,6.826800,7.560800
2025-09-25,133.15,137.2,132.1,136.6,44479831,6000713850.43,3.884200,0.544700
2025-09-26,135.6,139.45,133.01,133.1,37983323,5178707826.33,3.316900,-2.562200
2025-09-29,134.66,143.88,133.0,143.65,50769723,7038909279.32,4.433500,7.926400
2025-09-30,145.8,157.97,142.5,154.8,59384622,9028981401.64,5.185700,7.761900
2025-10-09,162.0,169.9,155.78,157.08,75901410,12306816994.15,6.628100,1.472900
2025-10-10,154.0,159.0,148.55,150.06,53632206,8189039488.57,4.683400,-4.469100
2025-10-13,141.0,152.55,141.0,148.05,48688086,7213219113.17,4.251700,-1.339500
2025-10-14,151.24,155.9,143.77,147.0,51426901,7689556269.89,4.490800,-0.709200
2025-10-15,143.11,145.0,136.38,144.55,45865171,6457985399.18,4.005200,-1.666700
2025-10-16,143.5,151.0,143.2,144.6,40264866,5911915893.21,3.516100,0.034600
2025-10-17,143.15,145.45,137.81,138.0,38201918,5365666867.87,3.336000,-4.564300
2025-10-20,141.98,142.99,133.66,135.15,45838667,6315068478.57,4.002800,-2.065200
2025-10-21,136.3,140.44,135.3,139.0,35121873,4875734733.93,3.067000,2.848700
2025-10-22,137.5,137.87,134.7,136.36,25101972,3424355151.25,2.192000,-1.757900
2025-10-23,135.88,137.2,132.33,136.42,22303875,3004703089.06,1.947700,0.044000
2025-10-24,139.39,146.19,139.3,146.05,49097771,7076979204.76,4.287400,7.059100
2025-10-27,153.0,153.46,146.11,151.01,54398476,8145484175.43,4.750300,3.396100
2025-10-28,147.5,152.09,146.99,149.36,34833876,5205905759.92,3.041900,-1.092600
2025-10-29,149.0,155.5,149.0,153.3,32729927,4988411386.01,2.858100,2.637900
2025-10-30,155.0,158.88,151.21,152.0,43691161,6756662787.76,3.815300,-0.848000
2025-10-31,148.01,149.0,136.3,136.3,70786084,9928715900.23,6.181400,-10.328900
2025-11-03,134.0,135.26,128.03,133.13,47736471,6257947515.31,4.168600,-2.325800
2025-11-04,134.8,134.88,128.88,130.07,32812518,4317429027.86,2.865300,-2.298500
2025-11-05,125.2,129.58,125.16,128.91,28966253,3685197269.23,2.529500,-0.891800
2025-11-06,130.58,133.41,128.96,132.31,38545543,5066112410.56,3.366000,2.637500
2025-11-07,130.0,132.88,129.08,130.08,25636165,3353290907.15,2.238700,-1.685400
2025-11-10,132.01,132.82,125.0,127.8,31798804,4071395445.77,2.776800,-1.752800
2025-11-11,129.29,131.0,126.8,127.14,24086301,3104258516.73,2.103300,-0.516400
2025-11-12,125.2,127.5,122.7,124.68,27774747,3459722132.9,2.425400,-1.934900
2025-11-13,124.0,130.27,123.8,127.8,30793238,3945799722.96,2.689000,2.502400
2025-11-14,124.0,124.24,121.17,121.17,29483825,3613577350.96,2.574700,-5.187800
2025-11-17,121.28,123.8,120.07,121.2,20181943,2454629886.2,1.762400,0.024800
2025-11-18,120.8,122.88,119.78,120.9,22624775,2740616114.5,1.975700,-0.247500
2025-11-19,120.1,122.07,118.68,119.4,17231731,2068680523.48,1.504800,-1.240700
2025-11-20,122.36,122.8,117.88,118.02,17885204,2138178617.51,1.561800,-1.155800
2025-11-21,114.88,117.0,113.7,113.9,23934540,2757308506.73,2.090100,-3.490900
2025-11-24,115.67,115.95,112.0,113.9,19742532,2249464315.51,1.724000,0.000000
2025-11-25,116.6,118.77,115.72,116.29,26293764,3075887228.08,2.296100,2.098300
2025-11-26,115.08,119.24,114.45,117.11,22175521,2605052139.26,1.936500,0.705100
2025-11-27,118.2,122.22,117.02,117.4,30073082,3601089382.03,2.626100,0.247600
2025-11-28,117.58,119.22,116.86,118.5,18261822,2156907673.25,1.594700,0.937000
2025-12-01,120.0,121.1,116.97,120.45,24695279,2952408800.61,2.156500,1.645600
2025-12-02,120.06,120.26,117.54,118.16,16743606,1986826731.12,1.462100,-1.901200
2025-12-03,118.72,120.28,117.9,118.1,15807818,1879712163.37,1.380400,-0.050800
2025-12-04,117.55,120.33,116.85,119.7,16556455,1968861996.18,1.445800,1.354800
2025-12-05,119.5,120.22,117.7,119.23,18551177,2208461366.44,1.620000,-0.392600
2025-12-08,120.0,124.77,119.25,123.11,29944577,3675936355.84,2.614900,3.254200
2025-12-09,123.13,124.5,122.03,123.1,22938030,2825894248.99,2.003100,-0.008100
2025-12-10,122.3,122.36,117.83,120.51,28483933,3394900657.7,2.487400,-2.104000
2025-12-11,123.82,126.45,119.28,119.39,38433365,4724702542.22,3.356200,-0.929400
